Iterations,continuity,x-velocity,y-velocity,z-velocity,energy,k,epsilon
1,1,0.00183193,0.00777209,0.000695648,0.00103587,0.173989,63.8945
2,0.883958,0.01077,0.0725581,0.011965,0.00116477,0.136441,0.354941
3,0.635848,0.00828178,0.0486978,0.00876047,0.00126957,0.0890294,0.385798
4,0.550715,0.00455928,0.0232836,0.00503948,0.00121344,0.0798723,0.590006
5,0.484734,0.00316014,0.0122908,0.00278846,0.00099181,0.0666357,1.06608
6,0.379876,0.002444,0.00670127,0.00205152,0.000807981,0.0528537,1.33702
7,0.281895,0.00204701,0.00415909,0.00151952,0.000669662,0.0391663,1.18404
8,0.200523,0.00176069,0.00291822,0.00129606,0.000576195,0.0275258,0.87342
9,0.14067,0.00152705,0.00224428,0.00104175,0.000499348,0.0187138,0.591282
10,0.0991498,0.00133447,0.00184515,0.000852235,0.000439907,0.0125544,0.380108
11,0.0762775,0.00118936,0.00159464,0.000721552,0.000383045,0.00825469,0.231224
12,0.0646852,0.00108145,0.00142001,0.000610135,0.000331355,0.00547697,0.13154
13,0.0580045,0.00100538,0.00129623,0.000556792,0.000288563,0.00408043,0.0684002
14,0.0522718,0.000955439,0.00120218,0.000502231,0.000254704,0.00349574,0.0468831
15,0.0474622,0.000919851,0.00112673,0.00047009,0.000228985,0.00319136,0.0415862
16,0.0434021,0.000889285,0.00106415,0.000440804,0.0002085,0.00302334,0.0409505
17,0.0405812,0.000858034,0.00100951,0.00042138,0.000191393,0.00289219,0.040826
18,0.038794,0.000826524,0.000961246,0.00040307,0.000176326,0.00276453,0.0403463
19,0.0374164,0.000793833,0.000916431,0.000387599,0.000163419,0.00265262,0.038972
20,0.0364182,0.000762103,0.000873842,0.000369206,0.000151809,0.00256199,0.0371765
21,0.0354444,0.000728514,0.000832505,0.000354657,0.000141304,0.00248504,0.0349635
22,0.0345393,0.000697172,0.000794138,0.000336862,0.000131775,0.00240198,0.0326146
23,0.0335079,0.000665212,0.000757376,0.000322267,0.000122567,0.00231339,0.0301298
24,0.032433,0.000634557,0.000722418,0.000307253,0.000114371,0.00222519,0.0278121
25,0.0313574,0.000604581,0.000690138,0.000294245,0.000106635,0.00211042,0.0254637
26,0.0303425,0.000576976,0.000660113,0.000279923,9.99653e-05,0.00202517,0.0236184
27,0.0293401,0.000549776,0.000631443,0.000268437,9.4105e-05,0.00195861,0.0221483
28,0.0283821,0.000524716,0.000605968,0.00025777,8.84577e-05,0.00190359,0.0210314
29,0.0275101,0.000500969,0.000581037,0.000248143,8.31469e-05,0.00184352,0.0200037
30,0.0267243,0.000479307,0.000557598,0.000237967,7.81752e-05,0.00178706,0.0190684
31,0.0259855,0.00045791,0.000534758,0.000228914,7.35105e-05,0.0017434,0.0182999
32,0.0252628,0.000437265,0.000512517,0.000220636,6.91154e-05,0.00170484,0.0176556
33,0.0245287,0.000418388,0.000491167,0.000211384,6.47435e-05,0.00166876,0.017187
34,0.0237722,0.000398357,0.000469298,0.000202766,6.05202e-05,0.00162218,0.016706
35,0.0230265,0.000379919,0.000448291,0.00019254,5.64564e-05,0.00158448,0.0162749
36,0.0222103,0.000360694,0.00042608,0.000183262,5.25556e-05,0.00153995,0.0158702
37,0.0213764,0.00034329,0.000404905,0.000173442,4.8945e-05,0.0014931,0.0154742
38,0.0205643,0.000326198,0.000383933,0.000164055,4.5668e-05,0.0014452,0.0150628
39,0.019741,0.000310183,0.000363613,0.000154749,4.28359e-05,0.00138634,0.0146437
40,0.0189438,0.000295674,0.000344528,0.000145686,4.02755e-05,0.00133205,0.0142367
41,0.0181709,0.000281552,0.000326558,0.000137635,3.79922e-05,0.0012776,0.0138701
42,0.0174472,0.00026865,0.00031012,0.000129561,3.59719e-05,0.00123569,0.0135407
43,0.016699,0.000256659,0.00029432,0.000122174,3.41381e-05,0.00119608,0.0132075
44,0.0159669,0.000245683,0.000279888,0.000115187,3.24181e-05,0.00116398,0.0128844
45,0.0152865,0.000235648,0.000266931,0.000109091,3.08601e-05,0.00113746,0.0125632
46,0.0146714,0.000226199,0.000254784,0.000103709,2.93016e-05,0.00110939,0.0122646
47,0.014134,0.000217885,0.000243847,9.89103e-05,2.77339e-05,0.0010803,0.011974
48,0.0136309,0.000209878,0.000233377,9.47226e-05,2.62454e-05,0.0010477,0.011656
49,0.0131263,0.000202205,0.000223532,9.10617e-05,2.48202e-05,0.00100832,0.0112933
50,0.0126877,0.000195195,0.000214566,8.76773e-05,2.34011e-05,0.000969355,0.0109131
51,0.012245,0.000187842,0.000205559,8.48221e-05,2.20073e-05,0.000923364,0.0104878
52,0.0118273,0.000181202,0.000197264,8.22075e-05,2.06247e-05,0.000876934,0.0100401
53,0.0114363,0.000174565,0.000189047,7.96413e-05,1.88274e-05,0.000826696,0.00955748
