Iterations,continuity,x-velocity,y-velocity,z-velocity,energy,k,epsilon
1,1,0.00183104,0.00786811,0.000695365,0.00100927,0.17377,65.0368
2,0.882452,0.0102633,0.0684693,0.0118433,0.00111489,0.132195,0.3589
3,0.635546,0.00755022,0.0438835,0.00824239,0.00121784,0.0895089,0.383412
4,0.548395,0.00425574,0.0214852,0.0048441,0.0011816,0.0821965,0.620332
5,0.482574,0.00303758,0.0115643,0.00271223,0.000976205,0.0671983,1.09018
6,0.37878,0.00239267,0.00644795,0.00198845,0.00079388,0.0524931,1.32907
7,0.282779,0.00201184,0.00404269,0.00152274,0.000656995,0.0386377,1.15986
8,0.20205,0.00172608,0.00285949,0.00126258,0.000564163,0.0272721,0.858877
9,0.142556,0.00149976,0.00221487,0.00103967,0.000488205,0.0187928,0.588672
10,0.101619,0.00132073,0.00183232,0.000869725,0.000432323,0.0127841,0.384587
11,0.0788696,0.00118276,0.00159078,0.000717942,0.000377581,0.00856247,0.240105
12,0.0674086,0.00108218,0.00142943,0.000620789,0.000328409,0.00577071,0.140667
13,0.0606412,0.00101124,0.00131502,0.000558258,0.000288195,0.00427504,0.0758755
14,0.0548742,0.000965966,0.00122783,0.000510696,0.000256265,0.00363619,0.0476333
15,0.0499091,0.000932537,0.00115747,0.000479365,0.000231588,0.0033535,0.0397462
16,0.0459456,0.000903234,0.00109704,0.000451799,0.000211041,0.00322046,0.0394638
17,0.0431973,0.000874255,0.00104526,0.000432803,0.000193941,0.00311555,0.0405687
18,0.0414241,0.000843394,0.000996308,0.00041484,0.000178849,0.00301142,0.041052
19,0.0401864,0.000811688,0.000949697,0.000399563,0.00016547,0.00291985,0.0404232
20,0.0392532,0.000781743,0.00090526,0.000382447,0.000153664,0.00282401,0.0389107
21,0.0384841,0.000751561,0.000863325,0.000363801,0.000143145,0.0027178,0.0367643
22,0.037546,0.000720192,0.000822332,0.000349232,0.000133452,0.00259217,0.0339713
23,0.0365132,0.000688828,0.000782607,0.0003318,0.000124472,0.00245117,0.0310411
24,0.0353891,0.000656914,0.000743836,0.000316529,0.000116185,0.00231269,0.0282846
25,0.0341294,0.000626088,0.00070783,0.00030016,0.000108668,0.00220313,0.0261532
26,0.0327783,0.000595365,0.0006733,0.000285827,0.000101675,0.00210053,0.0244436
27,0.031554,0.000565901,0.000640204,0.000272423,9.53412e-05,0.00200548,0.0229497
28,0.0304465,0.00053806,0.000608481,0.000259258,8.90034e-05,0.00191596,0.0215217
29,0.0293697,0.000511883,0.000578262,0.000246821,8.31371e-05,0.00183725,0.0202359
30,0.0283249,0.000486735,0.000549604,0.000236088,7.78089e-05,0.00176437,0.0190575
31,0.0273468,0.00046308,0.00052317,0.000225999,7.27378e-05,0.00169106,0.017924
