Iteration,outlet-temp-avg
1,299.9999999999999
2,300.0711528327552
3,300.5115692047212
4,302.3820115150496
5,304.2473429465523
6,306.0101720244052
7,307.7912611033128
8,309.4673753119451
9,311.0267928967037
10,312.4796899090064
11,313.800037468214
12,314.9866577163721
13,316.0342905898083
14,316.9182901763072
15,317.6678000390492
16,318.350144239679
17,318.9346044881352
18,319.4724495085823
19,319.9398604314687
20,320.386255174954
21,320.7873915138907
22,321.1660721106772
23,321.5026990869065
24,321.8275310448678
25,322.1327987414294
26,322.4266448613877
27,322.6934587581696
28,322.9496767076662
29,323.1924535781231
30,323.4214281341751
31,323.6330213406059
32,323.8312938971858
33,324.0125911345284
34,324.1839780968646
35,324.3485286054719
36,324.5012495865929
37,324.6436796568141
38,324.7777458327261
39,324.900676350538
40,325.0155670525335
41,325.1230500078613
42,325.2216354488166
43,325.3136590752031
44,325.3985187802016
45,325.4765060274134
46,325.5474648877847
47,325.611215722897
48,325.6680611213263
49,325.7187619941845
50,325.7638656304438
51,325.8033174556849
52,325.8380674150231
53,325.8684581685687
54,325.8949511611677
55,325.9176347380452
56,325.9374340444792
57,325.9546860319109
58,325.9696039669842
59,325.9825145067247
60,325.9939678617513
61,326.0042096674814
62,326.0133981649582
63,326.0221465119413
64,326.029822282766
65,326.0366927446094
66,326.0430362607261
67,326.0490380418137
68,326.0549101059083
69,326.0607556783783
70,326.0667417350268
71,326.0727827076643
72,326.0790468796958
73,326.0854507010663
74,326.0919745004929
75,326.0985421033564
76,326.1051398644541
77,326.111790654657
78,326.1183833572177
79,326.1248722888815
80,326.1312332684931
81,326.1374265477781
82,326.143360167857
83,326.1489934085683
84,326.1542852535627
85,326.1592109423726
86,326.1638468364703
87,326.1681222210094
88,326.1720827959304
89,326.175715768637
90,326.1790384512431
91,326.1820877037492
92,326.1849062628786
93,326.187543590617
94,326.1900503612123
95,326.1924277697354
96,326.1947297997421
97,326.1969926641667
98,326.1992480538898
99,326.2015312303154
100,326.2038527910007
101,326.2062568340731
102,326.2087253761052
103,326.211313839065
104,326.21403175899
105,326.2168508838046
106,326.2198237495022
107,326.2229059174051
108,326.2260805640972
109,326.2293750055685
110,326.232780204111
111,326.2362398344703
112,326.2397511656952
113,326.2432909234729
114,326.2468447852355
115,326.2503909839868
116,326.2539119188382
117,326.2573952963816
118,326.2608238788833
119,326.264180365059
120,326.2674569139114
121,326.2706498964092
122,326.2737483172318
123,326.2767265762382
124,326.2795936470025
125,326.2823391789419
126,326.2849618016158
127,326.2874534127054
128,326.2898284403478
129,326.2921002920117
130,326.2942686310739
131,326.2963304800789
132,326.2982896393102
133,326.3001494258962
134,326.3019161562946
135,326.3035882031789
136,326.305177077311
137,326.3066857747815
138,326.308122338719
139,326.3094920052534
140,326.3107788286715
141,326.312006053916
142,326.3131722297013
143,326.3142815194839
144,326.31533122578
145,326.3163199161201
146,326.3172506187103
147,326.3181176836493
148,326.3189241269217
149,326.3196699780648
150,326.3203602237653
151,326.3209940502074
152,326.3215786471961
153,326.3221095414165
154,326.322592480604
155,326.3230255730004
156,326.3234147687324
157,326.323757824259
158,326.3240538491252
159,326.3243106345952
160,326.324530120565
161,326.3247135890146
162,326.3248648969485
163,326.3249863145473
164,326.3250797503212
165,326.325153121621
166,326.325199337837
167,326.3252243718837
168,326.3252312882223
169,326.3252167147459
170,326.3251791677616
171,326.3251211829711
172,326.3250573693621
173,326.3249784341743
174,326.3248909270588
175,326.3247914844537
176,326.3246853749054
177,326.3245787364028
178,326.3244676421028
179,326.3243548958085
180,326.3242434766391
181,326.3241301428081
182,326.3240163310798
183,326.3239011890079
184,326.3237845601177
185,326.3236699935438
186,326.3235578191944
187,326.3234463817574
188,326.3233363006262
189,326.3232280724055
190,326.3231245516438
191,326.3230259773949
192,326.3229280804936
193,326.3228322893179
194,326.322737266166
195,326.3226438385527
196,326.3225518424933
197,326.3224602840513
198,326.3223680426548
199,326.3222762251618
200,326.3221812626685
201,326.3220818654829
202,326.3219801667538
203,326.3218767591231
204,326.3217735611147
205,326.3216676144826
206,326.3215606483783
207,326.3214518249685
208,326.3213414904298
209,326.321230459624
210,326.3211186158163
211,326.3210057673659
212,326.3208921043632
213,326.3207781100987
214,326.3206637543669
215,326.3205498767273
216,326.3204363558918
217,326.3203229589247
218,326.3202100070706
219,326.3200973905897
220,326.3199854532782
221,326.3198752351401
222,326.3197670968597
223,326.3196610383764
224,326.319556318866
225,326.319453798157
226,326.3193520485267
227,326.3192512629079
228,326.319151386224
229,326.3190527527053
230,326.3189562728222
231,326.3188623352587
232,326.3187705537477
233,326.3186813635219
234,326.3185942305312
235,326.318509933205
236,326.3184285243971
237,326.3183493921026
238,326.3182723267577
239,326.3181973125824
240,326.318123717066
