Iterations,continuity,x-velocity,y-velocity,z-velocity,energy,k,epsilon
1,1,0.00182932,0.00817929,0.000694854,0.000942734,0.178716,69.3728
2,0.880072,0.00916732,0.0589281,0.0118548,0.00104106,0.12895,0.386
3,0.636013,0.00663689,0.0381443,0.00795921,0.00111569,0.0917633,0.402941
4,0.54357,0.00380493,0.0183968,0.00469398,0.00112272,0.0874075,0.72146
5,0.479463,0.00287019,0.0106224,0.00256646,0.000923105,0.0677289,1.24959
6,0.377923,0.00231474,0.00598615,0.00197843,0.000742469,0.050793,1.37104
7,0.284971,0.00194234,0.00380713,0.0015152,0.000613591,0.0363568,1.10469
8,0.204823,0.00165613,0.00271179,0.00124506,0.000525989,0.0254296,0.792803
9,0.145428,0.00144198,0.00212622,0.00100437,0.000472751,0.0177095,0.541199
10,0.105269,0.00128183,0.00178447,0.000851538,0.000418734,0.0122314,0.35742
11,0.0832589,0.00116103,0.00157063,0.000713724,0.000367303,0.00832097,0.227148
12,0.0724571,0.0010737,0.0014317,0.000623405,0.000322602,0.00575749,0.136348
13,0.065451,0.00101387,0.00133131,0.000560896,0.000285382,0.00436511,0.0765294
14,0.059412,0.000973347,0.00125401,0.000514804,0.000256158,0.00376179,0.0460462
15,0.054556,0.000944402,0.00119092,0.000482595,0.000231516,0.00356351,0.0373204
16,0.0509158,0.000916168,0.00113347,0.000459702,0.000211222,0.00350635,0.0386267
17,0.0481586,0.000888565,0.00108133,0.000440949,0.000194525,0.00346274,0.041338
18,0.0464824,0.000861802,0.00103234,0.000425852,0.000179552,0.00337548,0.042183
19,0.0453913,0.000833726,0.000985061,0.000410942,0.000166493,0.00323626,0.0411982
20,0.0445268,0.000804066,0.000938331,0.000394679,0.000154786,0.00307231,0.0389472
21,0.0436427,0.000772811,0.000891602,0.000378764,0.000144105,0.0028881,0.0359619
22,0.0425596,0.000741206,0.000845919,0.000360159,0.000134318,0.00271724,0.0330302
23,0.041434,0.000709055,0.000802048,0.000342366,0.00012557,0.00256259,0.0306006
24,0.040154,0.000676088,0.000759182,0.000324788,0.000117486,0.00241008,0.0285091
25,0.0388282,0.000643242,0.000717203,0.00030711,0.000109501,0.00225956,0.0264639
26,0.0373484,0.0006112,0.000676543,0.000288649,0.00010205,0.0021211,0.0245473
27,0.035919,0.000579222,0.000637976,0.000272211,9.48379e-05,0.00197597,0.0225522
28,0.0343751,0.000548846,0.000601504,0.000254174,8.77498e-05,0.00185169,0.0207397
29,0.0327997,0.000518177,0.000566291,0.000239694,8.09431e-05,0.00173182,0.0189812
30,0.0311853,0.000489614,0.000533656,0.000224769,7.47382e-05,0.00162067,0.0173932
31,0.0296348,0.00046266,0.000502818,0.000211485,6.87672e-05,0.001531,0.0160355
32,0.0282079,0.000436834,0.000473549,0.000199817,6.32728e-05,0.00144518,0.0148481
33,0.0268381,0.000412974,0.000446409,0.000188206,5.82389e-05,0.00136336,0.0138253
34,0.025554,0.00039035,0.000421133,0.000178349,5.37086e-05,0.0012848,0.0128997
