Iterations,continuity,x-velocity,y-velocity,z-velocity,energy,k,epsilon
70,0.00746357,9.23672e-05,0.000104431,4.56841e-05,1.47174e-05,0.000483252,0.00491475
71,0.00737719,9.08151e-05,0.000102885,4.57791e-05,1.47437e-05,0.000480526,0.00486253
72,0.00730283,8.94937e-05,0.00010144,4.57776e-05,1.47194e-05,0.0004781,0.00481258
73,0.00724426,8.82377e-05,9.99536e-05,4.5765e-05,1.469e-05,0.000476818,0.00477514
74,0.00718002,8.69785e-05,9.84525e-05,4.58125e-05,1.46036e-05,0.000473966,0.00473777
75,0.00710603,8.59127e-05,9.70715e-05,4.56132e-05,1.44655e-05,0.00047029,0.00470865
76,0.00703084,8.47442e-05,9.55852e-05,4.5389e-05,1.42924e-05,0.000467634,0.0046878
77,0.00693487,8.35669e-05,9.41681e-05,4.51447e-05,1.40801e-05,0.000463517,0.00466371
78,0.00684778,8.24915e-05,9.2817e-05,4.46982e-05,1.38774e-05,0.000460225,0.00464773
79,0.00676604,8.13603e-05,9.13061e-05,4.4227e-05,1.36376e-05,0.000456087,0.00463594
80,0.00667946,8.02939e-05,8.98742e-05,4.36972e-05,1.338e-05,0.000451827,0.00462179
81,0.00658286,7.91879e-05,8.84325e-05,4.31348e-05,1.31163e-05,0.000447148,0.00459665
82,0.006475,7.81273e-05,8.70794e-05,4.2459e-05,1.28192e-05,0.000440372,0.00455503
83,0.00637225,7.71062e-05,8.57709e-05,4.16782e-05,1.25414e-05,0.00043395,0.00451375
84,0.0062673,7.59414e-05,8.43623e-05,4.09326e-05,1.22617e-05,0.000427229,0.00446479
85,0.00616743,7.48464e-05,8.30849e-05,4.01278e-05,1.19811e-05,0.000420958,0.00441233
86,0.00606603,7.37019e-05,8.17739e-05,3.93113e-05,1.16963e-05,0.000414519,0.00435899
87,0.00596098,7.25895e-05,8.05192e-05,3.84606e-05,1.14051e-05,0.000406736,0.00429729
88,0.00585958,7.15213e-05,7.93013e-05,3.75885e-05,1.11139e-05,0.000398825,0.00423249
89,0.00575764,7.04013e-05,7.8025e-05,3.68182e-05,1.08291e-05,0.000389853,0.00415878
90,0.00566229,6.93889e-05,7.68645e-05,3.60199e-05,1.05689e-05,0.000381617,0.00408569
91,0.00555957,6.83024e-05,7.56546e-05,3.5309e-05,1.03144e-05,0.000373371,0.00400709
92,0.00546923,6.7326e-05,7.45927e-05,3.46095e-05,1.00664e-05,0.000364875,0.00392648
93,0.00537902,6.63066e-05,7.34386e-05,3.39625e-05,9.82692e-06,0.000356424,0.00384609
94,0.00529428,6.53634e-05,7.23558e-05,3.33031e-05,9.59535e-06,0.000348703,0.00376952
95,0.00521126,6.43961e-05,7.12342e-05,3.26816e-05,9.35788e-06,0.000341161,0.00369477
96,0.00513069,6.34805e-05,7.01691e-05,3.20708e-05,9.13767e-06,0.000333795,0.00362625
97,0.00504953,6.25275e-05,6.90693e-05,3.15091e-05,8.92122e-06,0.000326304,0.00356134
98,0.00497071,6.16488e-05,6.80353e-05,3.09421e-05,8.70361e-06,0.000318698,0.00350121
99,0.00489563,6.07921e-05,6.69918e-05,3.03639e-05,8.50662e-06,0.000311901,0.00345155
100,0.00482423,5.98494e-05,6.5844e-05,2.987e-05,8.303e-06,0.000305504,0.00341048
101,0.00475607,5.90002e-05,6.48048e-05,2.93401e-05,8.10595e-06,0.000299104,0.00337167
102,0.0046881,5.81129e-05,6.36928e-05,2.87853e-05,7.92394e-06,0.00029293,0.00333515
103,0.0046145,5.71989e-05,6.25561e-05,2.82753e-05,7.73156e-06,0.000286455,0.00329849
104,0.00454849,5.63697e-05,6.15211e-05,2.76899e-05,7.56058e-06,0.000280779,0.00326538
105,0.00448343,5.54435e-05,6.03656e-05,2.71667e-05,7.39791e-06,0.000275504,0.00323627
106,0.00441304,5.45643e-05,5.93018e-05,2.66465e-05,7.2422e-06,0.000270456,0.00320614
107,0.0043421,5.36804e-05,5.82485e-05,2.61092e-05,7.08676e-06,0.00026524,0.00317034
