Iterations,continuity,x-velocity,y-velocity,z-velocity,energy,k,epsilon
1,1,0.0018284,0.00837471,0.00069455,0.000918087,0.18349,73.0081
2,0.87943,0.0087679,0.0557971,0.0117219,0.000983272,0.1261,0.431311
3,0.636697,0.0060166,0.0337227,0.00735221,0.00107817,0.0951403,0.418438
4,0.542082,0.0036095,0.0174022,0.00442077,0.0010729,0.0912223,0.876978
5,0.47803,0.00279162,0.0097478,0.00255564,0.000891934,0.06831,1.34886
6,0.378805,0.00223702,0.00568598,0.00181152,0.000717085,0.0500908,1.36748
7,0.285416,0.00188513,0.00366283,0.00145053,0.000594923,0.0353687,1.06129
8,0.205471,0.00161404,0.00261913,0.00118716,0.000510811,0.0245341,0.749238
9,0.146122,0.00141267,0.00206593,0.00098032,0.000445896,0.0170317,0.506098
10,0.106199,0.00125803,0.00174784,0.000806132,0.000398798,0.0117087,0.332509
11,0.0851407,0.00114707,0.00154957,0.000708793,0.000353328,0.00793225,0.209568
12,0.0747115,0.00106418,0.00142033,0.000614363,0.000313008,0.0055372,0.124918
13,0.0677119,0.00100933,0.00132534,0.000562298,0.00027954,0.00428209,0.0699118
14,0.0615243,0.000972501,0.00125235,0.000512919,0.000252319,0.00375462,0.0436619
15,0.0565963,0.000943794,0.001191,0.000483503,0.000229295,0.00360528,0.0363165
16,0.05281,0.00091802,0.0011357,0.000458765,0.000210768,0.00358706,0.0390693
17,0.0502715,0.000891111,0.00108397,0.000441536,0.000194595,0.00354695,0.0418954
18,0.0486906,0.000864092,0.00103428,0.0004275,0.000179784,0.00343806,0.0424439
19,0.0476445,0.000837271,0.000986962,0.000412478,0.000166557,0.00326875,0.0409089
20,0.0466954,0.000807185,0.000939111,0.000396734,0.000154736,0.00307435,0.0381674
21,0.0456685,0.000776043,0.000891934,0.000380165,0.00014409,0.00290383,0.0352154
22,0.0446339,0.000743913,0.000846541,0.000363633,0.000134059,0.00273902,0.0325609
23,0.0434494,0.000711393,0.000801464,0.000345374,0.000125006,0.00257779,0.0303428
24,0.0422491,0.000679167,0.000758193,0.000326757,0.000116655,0.00242228,0.028343
25,0.040885,0.000646232,0.00071577,0.000308175,0.000108742,0.00226326,0.0263448
26,0.0393957,0.000613676,0.000674924,0.000289496,0.00010132,0.00211379,0.0243741
27,0.0378638,0.000581396,0.000635789,0.000272455,9.40264e-05,0.00197344,0.0223826
28,0.0361502,0.000550107,0.000599074,0.00025553,8.69418e-05,0.00184061,0.020429
29,0.0345021,0.000519868,0.0005641,0.000239284,8.04467e-05,0.00172527,0.0186892
30,0.0328138,0.000490495,0.000530944,0.000225261,7.41203e-05,0.00161443,0.0171245
31,0.031174,0.000463237,0.000500009,0.000210313,6.84087e-05,0.00152491,0.0158304
32,0.0295689,0.000436842,0.000470999,0.000198336,6.28516e-05,0.00143611,0.0147105
33,0.0280466,0.00041333,0.000444456,0.000185737,5.79342e-05,0.00135232,0.0137238
34,0.026683,0.000390601,0.00041919,0.000175417,5.33755e-05,0.00127079,0.0128007
35,0.0254121,0.000370036,0.000396005,0.000164969,4.92298e-05,0.00119623,0.0119747
